Name,Description,Material
The Waylons in Chestnut,"Built by our buddies at VALLON, The Waylons is built to serve as your go-to pair of sunglasses day in and day out, whether you’re roughing it out in the field or suiting up for a big suit-and-tie affair. Any motorcyclist will tell you that a quality pair of sunglasses is crucial for long rides, so we’re making this classic style available stateside for the very first time as part of The Open Road Capsule.  ","The Waylons’ frame is made with lightweight, durable hypoallergenic acetate, while its polarized lenses (UV400) are made with impact-resistant nylon for exceptional clarity and glare protection. "
The Sashiko Denim Repair Kit,"Sure, you could hand off your well-worn denim to a professional for repair, but the DIY route is a heck of a lot more fun. Each Sashiko Denim Repair Kit includes recycled denim from the TS archives, plus all of the tools you need to get started—including instructions. ","The Sashiko Denim Repair Kit includes an assortment of archival TS denim patches (natural, indigo, black, green cast, etc.), needles, thread, pins, a pincushion, scissors, and a handy guide to help you fix up your old favorites like a pro. "
The Camp Candle in Shoreline,"The Camp Candle was poured by hand in small batches. Shoreline is a soft, laid-back scent featuring notes of black pepper, thyme, cinnamon, patchouli and vanilla—ideal as an everyday burner to help you wind down. ","Made with natural, renewable soy wax. Soy wax has a lower melting point than traditional, petroleum-based paraffin wax, which means you can expect a whopping 50 hours of burn time from The Camp Candle. "
The Cotton Hemp Tee in Charcoal Open Road,This exclusive edition of The Cotton Hemp Tee was built in collaboration with our buddy Ben Christensen as part of The Open Road Capsule. Peerless comfort and rock-solid construction—now sporting some sweet custom artwork that commemorates Ben’s solo ride through the Arizona desert as part of Moto Month 2021.,"Organic cotton offers all the benefits of the conventional stuff without relying on harmful chemicals or wasteful cultivation practices, and we’ve combined it with another earth-friendly fiber, hemp, to create a soft, resilient tee that’ll hold up to years of heavy use—Wherever The Road Takes You. "
The Cotton Hemp Tee in Navy Give to Get,"Regenerative agriculture is all about reciprocity; the better we take care of the planet, the better it takes care of us. To celebrate our partnership with the Rodale Institute—the global leaders of regenerative and organic agriculture—we tapped the talents of our buddy Dani Vergés to create this special, limited edition of The Cotton Hemp Tee. In keeping with the theme, a portion of the proceeds from each tee sold will benefit the farmers, researchers, and activists at Rodale Institute. ","We love organic cotton because it offers all of the benefits of the conventional stuff without relying on wasteful cultivation practices or harmful chemicals. The other half of this blend, hemp, is also easy on the environment—it promotes healthy soil and doesn't require a ton of water or land to flourish—while packing impressive durability (it's the strongest natural fiber around), UV protection, and antimicrobial properties. These fibers are at their best when combined—give The Cotton Hemp Tee a try and we think you'll agree."
The Cotton Hemp Tee in Natural Give to Get,"Regenerative agriculture is all about reciprocity; the better we take care of the planet, the better it takes care of us. To celebrate our partnership with the Rodale Institute—the global leaders of regenerative and organic agriculture—we tapped the talents of our buddy Dani Vergés to create this special, limited edition of The Cotton Hemp Tee. In keeping with the theme, a portion of the proceeds from each tee sold will benefit the farmers, researchers, and activists at Rodale Institute. ","We love organic cotton because it offers all of the benefits of the conventional stuff without relying on wasteful cultivation practices or harmful chemicals. The other half of this blend, hemp, is also easy on the environment—it promotes healthy soil and doesn't require a ton of water or land to flourish—while packing impressive durability (it's the strongest natural fiber around), UV protection, and antimicrobial properties. These fibers are at their best when combined—give The Cotton Hemp Tee a try and we think you'll agree."
The Golden State Blanket in Rust,"Taylor Stitch is made up of a diverse group of people from all over the country, but we’re a California brand at heart, and today we’re paying tribute to our home state with a brand-new blanket developed in collaboration with the American icons at Pendleton. The TS x Pendleton Golden State Blanket in Rust was built right here in California and features a Yosemite-inspired pattern, complete with a classic California Bear graphic front and center. Quantities are limited—don’t miss out. ","This comfy, 66” x 78” blanket was cut and sewn right here in California with a combination of pure virgin wool and cotton sourced from the legendary Pendleton Woolen Mills. We opted for classic blanket stitching at the edges and an unnapped finish for sharper pattern definition, so you can really appreciate the intricacies of the artwork while you’re getting cozy. "
The Ignition Jacket in Indigo Salt and Pepper,"The Ignition Jacket draws inspiration from classic zip-up denim jackets, but we’ve tuned up our take on this old-school silhouette with Responsible components (100% organic cotton throughout, including the corduroy collar) and a refined, modern cut. With a single chest pocket (plus two lower hand-warmers), a two-way zipper, and adjustable back tabs, The Ignition Jacket is content to keep things simple so you can keep your eyes on the road ahead.","This mid-weight jacket is made with 100% organic cotton—all of the benefits of conventionally grown cotton (including its unbeatably soft texture), minus the harmful chemicals and wasteful practices. An 8-oz. organic cotton corduroy collar and some awesome Salt and Pepper texture lend The Ignition Jacket some unique character that’ll only get better with wear. "
The Chandler Jacket in Ash Donegal,"Trendy gear has a tendency to fall by the wayside only to reemerge decades later, but some styles—by virtue of their timeless good looks and utility—never fade away. Such is the case with the classic vintage pieces that inspired The Chandler Jacket, a modern, expertly tailored reimagining of time-honored woolen outerwear. With four pockets, dark horn buttons, and a cozy sherpa lining, The Chandler is unabashedly straightforward. Maybe that has something to do with its longevity. ","The Chandler Jacket’s shell is made with a cozy, soft blend of wool, polyester, and silk—no need to worry about itchiness here. For some added heft and warmth, we’ve bolstered it with a 9-oz. polyester sherpa lining that looks great and feels even better. Smooth acetate in the sleeves makes wardrobe changes quick and easy—not that you’ll ever want to take The Chandler off."
The Chandler Jacket in Navy Donegal,"Trendy gear has a tendency to fall by the wayside only to reemerge decades later, but some styles—by virtue of their timeless good looks and utility—never fade away. Such is the case with the classic vintage pieces that inspired The Chandler Jacket, a modern, expertly tailored reimagining of time-honored woolen outerwear. With four pockets, dark horn buttons, and a cozy sherpa lining, The Chandler is unabashedly straightforward. Maybe that has something to do with its longevity.","The Chandler Jacket’s shell is made with a cozy, soft blend of wool, polyester, and silk—no need to worry about itchiness here. For some added heft and warmth, we’ve bolstered it with a 9-oz. polyester sherpa lining that looks great and feels even better. Smooth acetate in the sleeves makes wardrobe changes quick and easy—not that you’ll ever want to take The Chandler off."
The Forester Jacket in Ash Plaid,"Anybody who spends lots of time outdoors will tell you that a burly woolen jacket is as about as essential as it gets, so we’ve reworked this iconic formula to create something modern and classic all at once. With utility-focused features (including a ton of pockets for hand-warming and storage), some seriously rugged construction, and a timeless look, The Forester Jacket is the perfect piece to bring along next time you want to get lost for a while. ","At 13-oz., this woolen blend has some serious heft, making it an excellent layering piece to block out the cold. Wool is an excellent natural option for outerwear—it’s warm even when wet, it’s breathable, and it’s easy to care for. We’ve added some nylon to this batch to improve its durability and texture, so don’t be afraid to lean on The Forester for The Long Haul. "
The Ranch Boot in Redwood Waxed Suede,"Building a boot that stands out in a crowd—and stands the test of time—isn’t easy, but we’ve landed on a simple formula to see us through. We start with a classic, trend-immune design, we source the best materials on the planet (including LWG-certified leather and rugged Vibram® lug soles), and we work with expert craftspeople in León, Mexico—the shoemaking capital of the world—to assemble each piece by hand. It’s not the easiest way to build a pair of boots, but doing things the easy way isn’t our style. ","This 3-oz waxed suede’s handsome Redwood finish will patina beautifully over time, developing its own completely unique character as the leather darkens and the wax works itself down into the fibers. Fully lined with soft natural pigskin and featuring an absurdly comfortable foam insole, The Ranch Boot offers some exceptional, sneaker-like comfort right out of the box, and it’ll only get better with wear. "
